date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2021-07-06,U3-21JUL,2021-08-05,5.6755102040816325,5.7,5.7,-1.0000000000000155,-0.6402547297297718,0.0018492294877134397
2021-07-07,U3-21JUL,2021-08-05,5.6755102040816325,5.7,5.7,-1.0000000000000155,-0.6402547297297718,0.0018492294877134397
2021-07-08,U3-21JUL,2021-08-05,5.679591836734694,5.7,5.7,-1.0000000000000373,0.09359769230771064,0.0016243231986672103
2021-07-09,U3-21JUL,2021-08-05,5.677551020408163,5.7,5.7,-1.0000000000000058,-0.3105868421052791,0.001740941274468959
2021-07-10,U3-21JUL,2021-08-05,5.677551020408163,5.7,5.7,-1.0000000000000058,-0.3105868421052791,0.001740941274468959
2021-07-11,U3-21JUL,2021-08-05,5.671428571428573,5.7,5.7,-0.9999999999999688,-1.137809999999927,0.0020408163265305977
2021-07-12,U3-21JUL,2021-08-05,5.677551020408163,5.7,5.7,-1.0000000000000058,-0.3105868421052791,0.001740941274468959
2021-07-13,U3-21JUL,2021-08-05,5.674489795918369,5.7,5.7,-0.999999999999985,-0.7825573150683653,0.0019002498958767045
2021-07-14,U3-21JUL,2021-08-05,5.674489795918369,5.7,5.7,-0.999999999999985,-0.7825573150683653,0.0019002498958767045
2021-07-15,U3-21JUL,2021-08-05,5.6663265306122454,5.7,5.7,-0.9999999999999923,-1.552010769230755,0.0022334443981674146
2021-07-16,U3-21JUL,2021-08-05,5.671428571428573,5.7,5.7,-0.9999999999999688,-1.137809999999927,0.0020408163265305977
2021-07-17,U3-21JUL,2021-08-05,5.6663265306122454,5.7,5.7,-0.9999999999999923,-1.552010769230755,0.0022334443981674146
2021-07-18,U3-21JUL,2021-08-05,5.668367346938776,5.7,5.7,-1.000000000000012,-1.4083402503610636,0.0021626405664306385
2021-07-19,U3-21JUL,2021-08-05,5.6663265306122454,5.7,5.7,-0.9999999999999923,-1.552010769230755,0.0022334443981674146
2021-07-20,U3-21JUL,2021-08-05,5.6642857142857155,5.7,5.7,-1,-1.6714199999999566,0.0022959183673469225
