datetime_6h_utc,datetime_6h_et,contract_preamble,expiry_datetime,mean,median,mode,skewness,kurtosis,variance
2022-12-25T12:00:00Z,2022-12-25 07:00:00 EST,CPICOREYOY-22DEC,2022-12-25T12:00:00Z,5.7693877551020405,5.3,5.1,0.7371794871794882,-1.9753042479452392,0
2023-02-07T00:00:00Z,2023-02-06 19:00:00 EST,CPICOREYOY-23JAN,2023-02-07T12:00:00Z,5.90204081632653,5.9,5.9,1.0000000000001246,41.24190208333448,1.999167013744259e-4
2023-02-07T06:00:00Z,2023-02-07 01:00:00 EST,CPICOREYOY-23JAN,2023-02-07T12:00:00Z,5.90204081632653,5.9,5.9,1.0000000000001246,41.24190208333448,1.999167013744259e-4
2023-02-07T12:00:00Z,2023-02-07 07:00:00 EST,CPICOREYOY-23JAN,2023-02-07T12:00:00Z,5.90204081632653,5.9,5.9,1.0000000000001246,41.24190208333448,1.999167013744259e-4
2023-03-01T18:00:00Z,2023-03-01 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,91.09970412371084,1.0099958350687142e-4
2023-03-02T00:00:00Z,2023-03-01 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-02T06:00:00Z,2023-03-02 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-02T12:00:00Z,2023-03-02 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-02T18:00:00Z,2023-03-02 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-03T00:00:00Z,2023-03-02 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-03T06:00:00Z,2023-03-03 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-03T12:00:00Z,2023-03-03 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-03T18:00:00Z,2023-03-03 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-04T00:00:00Z,2023-03-03 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-04T06:00:00Z,2023-03-04 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-04T12:00:00Z,2023-03-04 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-04T18:00:00Z,2023-03-04 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-05T00:00:00Z,2023-03-04 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-05T06:00:00Z,2023-03-05 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-05T12:00:00Z,2023-03-05 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-05T18:00:00Z,2023-03-05 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-06T00:00:00Z,2023-03-05 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-06T06:00:00Z,2023-03-06 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.198979591836734,5.199999999999999,5.199999999999999,-0.9999999999992539,85.48310103092736,1.0099958350687142e-4
2023-03-06T12:00:00Z,2023-03-06 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-06T18:00:00Z,2023-03-06 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-07T00:00:00Z,2023-03-06 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-07T06:00:00Z,2023-03-07 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-07T12:00:00Z,2023-03-07 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-07T18:00:00Z,2023-03-07 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-08T00:00:00Z,2023-03-07 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-08T06:00:00Z,2023-03-08 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-08T12:00:00Z,2023-03-08 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-08T18:00:00Z,2023-03-08 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-09T00:00:00Z,2023-03-08 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-09T06:00:00Z,2023-03-09 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-09T12:00:00Z,2023-03-09 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-09T18:00:00Z,2023-03-09 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-10T00:00:00Z,2023-03-09 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-10T06:00:00Z,2023-03-10 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-10T12:00:00Z,2023-03-10 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.370408163265306,5.5,5.5,-0.9999999999999951,-1.9642823533600262,0
2023-03-10T18:00:00Z,2023-03-10 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.376530612244896,5.5,5.5,-0.9097744360902289,-1.2793042206814522,0
2023-03-11T00:00:00Z,2023-03-10 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.376530612244896,5.5,5.5,-0.9097744360902289,-1.2793042206814522,0
2023-03-11T06:00:00Z,2023-03-11 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.376530612244896,5.5,5.5,-0.9097744360902289,-1.2793042206814522,0
2023-03-11T12:00:00Z,2023-03-11 07:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-11T18:00:00Z,2023-03-11 13:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-12T00:00:00Z,2023-03-11 19:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-12T06:00:00Z,2023-03-12 01:00:00 EST,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-12T12:00:00Z,2023-03-12 08:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-12T18:00:00Z,2023-03-12 14:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-13T00:00:00Z,2023-03-12 20:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-13T06:00:00Z,2023-03-13 02:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-13T12:00:00Z,2023-03-13 08:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.4,5.5,5.199999999999999,-0.6282051282051251,-1.7473905482041587,0
2023-03-13T12:00:00Z,2023-03-13 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.335714285714285,5.3,5.3,0.9999999999999977,3.649391996240915,0.005765306122448972
2023-03-13T18:00:00Z,2023-03-13 14:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.438775510204083,5.5,5.3,-0.5084745762711815,-1.2585887941445686,0
2023-03-13T18:00:00Z,2023-03-13 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.335714285714285,5.3,5.3,0.9999999999999977,3.649391996240915,0.005765306122448972
2023-03-14T00:00:00Z,2023-03-13 20:00:00 EDT,CPICOREYOY-23FEB,2023-03-14T00:00:00Z,5.469387755102042,5.5,5.5,-0.3260869565217498,0.31277773668639375,0.015593502707205338
2023-03-14T00:00:00Z,2023-03-13 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.335714285714285,5.3,5.3,0.9999999999999977,3.649391996240915,0.005765306122448972
2023-03-14T06:00:00Z,2023-03-14 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.335714285714285,5.3,5.3,0.9999999999999977,3.649391996240915,0.005765306122448972
2023-03-14T12:00:00Z,2023-03-14 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.335714285714285,5.3,5.3,0.9999999999999977,3.649391996240915,0.005765306122448972
2023-03-14T18:00:00Z,2023-03-14 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.335714285714285,5.3,5.3,0.9999999999999977,3.649391996240915,0.005765306122448972
2023-03-15T00:00:00Z,2023-03-14 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.418367346938776,5.3999999999999995,5.5,0.23076923076924713,-1.4122427802827828,0.0084381507705123
2023-03-15T06:00:00Z,2023-03-15 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.418367346938776,5.3999999999999995,5.5,0.23076923076924713,-1.4122427802827828,0.0084381507705123
2023-03-15T12:00:00Z,2023-03-15 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.418367346938776,5.3999999999999995,5.5,0.23076923076924713,-1.4122427802827828,0.0084381507705123
2023-03-15T18:00:00Z,2023-03-15 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.418367346938776,5.3999999999999995,5.5,0.23076923076924713,-1.4122427802827828,0.0084381507705123
2023-03-16T00:00:00Z,2023-03-15 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.418367346938776,5.3999999999999995,5.5,0.23076923076924713,-1.4122427802827828,0.0084381507705123
2023-03-16T06:00:00Z,2023-03-16 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.418367346938776,5.3999999999999995,5.5,0.23076923076924713,-1.4122427802827828,0.0084381507705123
2023-03-16T12:00:00Z,2023-03-16 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.291836734693878,5.199999999999999,5.199999999999999,0.7377049180327898,-1.2494849674499453,0
2023-03-16T18:00:00Z,2023-03-16 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.291836734693878,5.199999999999999,5.199999999999999,0.7377049180327898,-1.2494849674499453,0
2023-03-17T00:00:00Z,2023-03-16 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-17T06:00:00Z,2023-03-17 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-17T12:00:00Z,2023-03-17 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-17T18:00:00Z,2023-03-17 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-18T00:00:00Z,2023-03-17 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-18T06:00:00Z,2023-03-18 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-18T12:00:00Z,2023-03-18 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.255102040816325,5.199999999999999,5.199999999999999,0.6279069767441907,-0.8849963857795569,0
2023-03-18T18:00:00Z,2023-03-18 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-19T00:00:00Z,2023-03-18 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-19T06:00:00Z,2023-03-19 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-19T12:00:00Z,2023-03-19 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-19T18:00:00Z,2023-03-19 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-20T00:00:00Z,2023-03-19 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-20T06:00:00Z,2023-03-20 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-20T12:00:00Z,2023-03-20 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-20T18:00:00Z,2023-03-20 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-21T00:00:00Z,2023-03-20 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-21T06:00:00Z,2023-03-21 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-21T12:00:00Z,2023-03-21 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-21T18:00:00Z,2023-03-21 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.301020408163264,5.3,5.3,0.0120481927710753,-0.7757122465005319,0.014590795501874239
2023-03-22T00:00:00Z,2023-03-21 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.359183673469387,5.3999999999999995,5.3999999999999995,-0.32258064516129414,-1.0826229195898507,0.02527280299875053
2023-03-22T06:00:00Z,2023-03-22 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.359183673469387,5.3999999999999995,5.3999999999999995,-0.32258064516129414,-1.0826229195898507,0.02527280299875053
2023-03-22T12:00:00Z,2023-03-22 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.359183673469387,5.3999999999999995,5.3999999999999995,-0.32258064516129414,-1.0826229195898507,0.02527280299875053
2023-03-22T18:00:00Z,2023-03-22 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-23T00:00:00Z,2023-03-22 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-23T06:00:00Z,2023-03-23 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-23T12:00:00Z,2023-03-23 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-23T18:00:00Z,2023-03-23 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-24T00:00:00Z,2023-03-23 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-24T06:00:00Z,2023-03-24 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-24T12:00:00Z,2023-03-24 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-24T18:00:00Z,2023-03-24 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-25T00:00:00Z,2023-03-24 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-25T06:00:00Z,2023-03-25 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-25T12:00:00Z,2023-03-25 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-25T18:00:00Z,2023-03-25 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-26T00:00:00Z,2023-03-25 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-26T06:00:00Z,2023-03-26 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-26T12:00:00Z,2023-03-26 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-26T18:00:00Z,2023-03-26 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.357142857142856,5.3999999999999995,5.3999999999999995,-0.34426229508197315,-1.045717602794952,0.02489795918367348
2023-03-27T00:00:00Z,2023-03-26 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3632653061224485,5.3999999999999995,5.3999999999999995,-0.31034482758621434,-0.990467393183339,0.022324031653477735
2023-03-27T06:00:00Z,2023-03-27 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3632653061224485,5.3999999999999995,5.3999999999999995,-0.31034482758621434,-0.990467393183339,0.022324031653477735
2023-03-27T12:00:00Z,2023-03-27 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3632653061224485,5.3999999999999995,5.3999999999999995,-0.31034482758621434,-0.990467393183339,0.022324031653477735
2023-03-27T18:00:00Z,2023-03-27 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3632653061224485,5.3999999999999995,5.3999999999999995,-0.31034482758621434,-0.990467393183339,0.022324031653477735
2023-03-28T00:00:00Z,2023-03-27 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.378571428571426,5.3999999999999995,5.3999999999999995,-0.2079207920792158,-0.7452458922781857,0.017397959183673484
2023-03-28T06:00:00Z,2023-03-28 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.378571428571426,5.3999999999999995,5.3999999999999995,-0.2079207920792158,-0.7452458922781857,0.017397959183673484
2023-03-28T12:00:00Z,2023-03-28 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.378571428571426,5.3999999999999995,5.3999999999999995,-0.2079207920792158,-0.7452458922781857,0.017397959183673484
2023-03-28T18:00:00Z,2023-03-28 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.378571428571426,5.3999999999999995,5.3999999999999995,-0.2079207920792158,-0.7452458922781857,0.017397959183673484
2023-03-29T00:00:00Z,2023-03-28 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.378571428571426,5.3999999999999995,5.3999999999999995,-0.2079207920792158,-0.7452458922781857,0.017397959183673484
2023-03-29T06:00:00Z,2023-03-29 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.378571428571426,5.3999999999999995,5.3999999999999995,-0.2079207920792158,-0.7452458922781857,0.017397959183673484
2023-03-29T12:00:00Z,2023-03-29 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3734693877551,5.3999999999999995,5.3999999999999995,-0.2708333333333389,-0.5624319671022313,0.016643065389421084
2023-03-29T18:00:00Z,2023-03-29 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3734693877551,5.3999999999999995,5.3999999999999995,-0.2708333333333389,-0.5624319671022313,0.016643065389421084
2023-03-30T00:00:00Z,2023-03-29 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3724489795918355,5.3999999999999995,5.3999999999999995,-0.27835051546391526,-0.571035044293835,0.016689920866305715
2023-03-30T06:00:00Z,2023-03-30 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3724489795918355,5.3999999999999995,5.3999999999999995,-0.27835051546391526,-0.571035044293835,0.016689920866305715
2023-03-30T12:00:00Z,2023-03-30 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.371428571428571,5.3999999999999995,5.3999999999999995,-0.2916666666666657,-0.5433599999999985,0.016326530612244906
2023-03-30T18:00:00Z,2023-03-30 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.371428571428571,5.3999999999999995,5.3999999999999995,-0.2916666666666657,-0.5433599999999985,0.016326530612244906
2023-03-31T00:00:00Z,2023-03-30 20:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3816326530612235,5.3999999999999995,5.3999999999999995,-0.19565217391303866,-0.5589467169644036,0.01639733444398169
2023-03-31T06:00:00Z,2023-03-31 02:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3816326530612235,5.3999999999999995,5.3999999999999995,-0.19565217391303866,-0.5589467169644036,0.01639733444398169
2023-03-31T12:00:00Z,2023-03-31 08:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3816326530612235,5.3999999999999995,5.3999999999999995,-0.19565217391303866,-0.5589467169644036,0.01639733444398169
2023-03-31T18:00:00Z,2023-03-31 14:00:00 EDT,CPICOREYOY-23MAR,2023-04-12T12:00:00Z,5.3816326530612235,5.3999999999999995,5.3999999999999995,-0.19565217391303866,-0.5589467169644036,0.01639733444398169
